instrument_uri,old_owner,new_owner
pmsr:INI1784603367462,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367463,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367465,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367466,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367467,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367469,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367470,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367471,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367473,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367474,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367475,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367476,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367478,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367479,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367480,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367482,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367483,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367484,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367486,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367487,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367488,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367490,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367491,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367492,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367494,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367495,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367496,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367498,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367499,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367500,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367502,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367503,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367504,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367506,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367507,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367508,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367509,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367511,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367512,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367513,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367515,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367516,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367517,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367519,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367520,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
